日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-22,小型,1,26,300,下午,12,,39,29,14,40,49,3,1301,1319,280,350,500,900,6,1,3,7,2,1401,60,80,80,30,60,90,下,39,29,14,40,49,3
2026-07-22,小型,2,29,400,下午,10,,24,14,2,21,32,,1331,1349,280,350,500,900,6,1,3,7,2,1401,60,80,80,30,60,90,中,24,14,2,21,32,
2026-07-22,小型,3,32,400,下午,10,,5,12,35,45,11,,1401,1420,280,350,500,900,7,1,3,7,1,1520,60,80,80,30,60,90,下,5,12,35,45,11,
2026-07-22,小型,4,37,400,下午,10,,41,31,10,46,19,,1435,1506,280,350,500,900,18,1,3,7,1,1520,60,80,80,30,60,90,中,41,31,10,46,19,
2026-07-22,小型,5,42,400,下午,10,,33,4,44,18,30,,1519,1539,280,350,500,900,7,1,3,7,3,1623,60,80,80,30,60,90,下,33,4,44,18,30,
2026-07-22,小型,6,"47,48",400_2.4,下午,5,,28,22,3,8,15,,1555,1612,280,350,500,900,8,1,3,7,3,1623,60,80,80,30,60,90,中,28,22,3,8,15,
2026-07-22,小型,7,"51,52",500,下午,8,,8,17,23,24,,,1623,1644,280,350,500,900,7,1,3,7,4,1725,60,80,80,30,60,90,下,8,17,23,24,,
2026-07-22,小型,8,"55,56",500,下午,8,,6,19,20,5,,,1653,1718,280,350,500,900,9,1,3,7,4,1725,60,80,80,30,60,90,中,6,19,20,5,,
2026-07-22,中型,1,"1,2,3",E型 800_2.35,上午,3,,8,7,9,,,,0750,0835,280,320,530,980,14,9,3,11,1,0845,60,90,90,30,60,90,下,8,7,9,,,
2026-07-22,中型,2,"4,5,6",P1200,上午,4,4,4,10,,,,,0845,0950,330,480,680,860,12,3,2,11,3,1000,60,90,90,30,60,90,下,4,10,,,,
2026-07-22,中型,3,"13,14,15",P1200,上午,5,5,9,3,,,,,1005,1020,330,460,680,860,12,5,2,11,2,1130,60,90,90,30,60,90,下,9,3,,,,
2026-07-22,中型,1,"27,28",E型 1200,下午,14,10,2,4,,,,,1305,1415,340,480,600,860,16,6,2,11,1,1425,60,85,85,30,60,90,下,2,4,,,,
2026-07-22,中型,2,"35,36",P900,下午,4,4,3,2,,,,,1425,1520,290,380,580,860,8,2,2,10,3,1530,60,85,85,30,60,90,下,3,2,,,,
2026-07-22,中型,3,"44,45",800,下午,6,,1,4,6,,,,1535,1610,280,320,530,980,13,8,3,11,4,1620,60,85,85,30,60,90,下,1,4,6,,,
