日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-20,小型,1,26,300,下午,12,,36,38,27,44,46,7,1301,1320,280,350,500,900,7,1,3,7,4,1448,60,80,80,30,60,90,上,36,38,27,44,46,7
2026-07-20,小型,2,29,400,下午,10,,16,13,46,25,10,,1346,1405,280,350,500,900,7,1,3,7,4,1448,60,80,80,30,60,90,中,16,13,46,25,10,
2026-07-20,小型,3,34,400,下午,10,,34,36,12,5,43,,1418,1435,280,350,500,900,6,1,3,7,4,1448,60,80,80,30,60,90,下,34,36,12,5,43,
2026-07-20,小型,4,"37,38",500,下午,8,,23,24,6,19,,,1448,1510,280,350,500,900,9,1,3,7,3,1553,60,80,80,30,60,90,上,23,24,6,19,,
2026-07-20,小型,5,"40,41",500,下午,8,,8,17,20,5,,,1519,1541,280,350,500,900,8,1,3,7,3,1553,60,80,80,30,60,90,中,8,17,20,5,,
2026-07-20,小型,6,44,400,下午,10,,14,41,31,11,24,,1554,1621,280,350,500,900,15,1,3,7,2,1754,60,80,80,30,60,90,上,14,41,31,11,24,
2026-07-20,小型,7,"47,48",400,下午,10,,26,29,40,17,45,,1639,1705,280,350,500,900,13,1,3,7,2,1754,60,80,80,30,60,90,中,26,29,40,17,45,
2026-07-20,小型,8,"49,50",400_2.4,下午,5,,3,8,15,28,22,,1717,1744,280,350,500,900,13,1,3,7,2,1754,60,80,80,30,60,90,下,3,8,15,28,22,
2026-07-20,中型,1,"1,2",E型 1000,上午,4,,5,4,,,,,0750,0835,290,340,530,1080,14,6,3,11,2,0835,60,90,90,30,60,90,下,5,4,,,,
2026-07-20,中型,2,"3,4,5",P1200,上午,4,4,10,4,,,,,0845,0950,330,460,680,860,13,4,2,11,4,1000,60,90,90,30,60,90,下,10,4,,,,
2026-07-20,中型,3,"15,16",P1200,上午,5,5,9,3,,,,,1005,1120,330,460,680,860,11,4,2,11,1,1130,60,90,90,30,60,90,下,9,3,,,,
2026-07-20,中型,1,"27,28",E型 1200,下午,14,10,4,2,,,,,1305,1410,340,480,600,860,15,6,2,11,2,1420,60,85,85,30,60,90,下,4,2,,,,
2026-07-20,中型,2,"35,36",P900,下午,4,4,3,2,,,,,1420,1520,290,380,580,860,8,4,2,10,4,1530,60,85,85,30,60,90,下,3,2,,,,
2026-07-20,中型,3,"42,43",800,下午,6,,6,3,5,,,,1535,1620,280,320,530,980,19,8,3,11,1,1630,60,85,85,30,60,90,下,6,3,5,,,
2026-07-20,中型,4,"45,46",800,下午,4,,1,4,,,,,1635,1715,280,320,530,980,8,4,3,11,3,1725,60,85,85,30,60,90,下,1,4,,,,
