日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-23,中型,1,"1,2,3",P1200,上午,4,4,10,4,,,,,0750,0855,330,460,680,860,12,4,2,11,3,0905,60,90,90,30,60,90,下,10,4,,,,
2026-07-23,中型,2,"5,6,7",P1200,上午,5,5,9,3,,,,,0905,1010,330,460,680,860,13,5,2,11,1,1020,60,90,90,30,60,90,下,9,3,,,,
2026-07-23,中型,3,"9,10",800,上午,6,,2,5,3,,,,1025,1120,280,320,530,980,21,9,3,11,2,1130,60,90,90,30,60,90,下,2,5,3,,,
2026-07-23,中型,1,"11,12",E型 1350,下午,2,,2,,,,,,1300,1340,340,480,600,1080,9,4,2,16,3,1350,60,85,85,30,60,90,下,2,,,,,
2026-07-23,中型,2,"17,18",E型 1200,下午,10,6,4,2,,,,,1355,1500,340,480,680,860,17,4,2,11,4,1510,60,85,85,30,60,90,下,4,2,,,,
2026-07-23,中型,3,"27,28",P900,下午,0,,3,2,,,,,1515,1625,290,380,580,860,9,5,2,10,1,1635,60,85,85,30,60,90,下,3,2,,,,
