日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-28,小型,1,22,300,下午,12,,35,47,48,31,20,34,1324,1343,280,350,500,900,7,1,3,7,4,1455,60,80,80,30,60,90,下,35,47,48,31,20,34
2026-07-28,小型,2,25,400,下午,10,,4,32,36,21,40,,1355,1413,280,350,500,900,6,1,3,7,4,1455,60,80,80,30,60,90,中,4,32,36,21,40,
2026-07-28,小型,3,29,400,下午,10,,12,43,26,2,18,,1424,1442,280,350,500,900,6,1,3,7,4,1455,60,80,80,30,60,90,下,12,43,26,2,18,
2026-07-28,小型,4,33,400,下午,10,,16,29,11,35,10,,1455,1513,280,350,500,900,6,1,3,7,2,1632,60,80,80,30,60,90,中,16,29,11,35,10,
2026-07-28,小型,5,37,400,下午,10,,46,19,13,44,33,,1528,1546,280,350,500,900,6,1,3,7,2,1632,60,80,80,30,60,90,下,46,19,13,44,33,
2026-07-28,小型,6,"42,43",400_2.4,下午,5,,22,28,15,8,3,,1602,1623,280,350,500,900,7,1,3,7,2,1632,60,80,80,30,60,90,中,22,28,15,8,3,
2026-07-28,小型,7,"46,47",500,下午,8,,21,22,18,7,,,1633,1654,280,350,500,900,7,1,3,7,3,1730,60,80,80,30,60,90,下,21,22,18,7,,
2026-07-28,小型,8,"52,53",500,下午,8,,25,2,27,26,,,1705,1729,280,350,500,900,9,1,3,7,3,1730,60,80,80,30,60,90,中,25,2,27,26,,
2026-07-28,中型,1,"1,2",800,上午,6,,6,4,1,,,,0750,0830,280,320,530,980,11,4,3,11,3,0840,60,90,90,30,60,90,下,6,1,4,,,
2026-07-28,中型,2,"3,4",800,上午,6,,3,2,5,,,,0840,0920,280,320,530,980,13,4,3,11,4,0930,60,90,90,30,60,90,下,5,3,2,,,
2026-07-28,中型,3,"5,6",700,上午,6,,5,3,6,,,,0930,1005,270,320,530,930,15,,3,10,1,1015,60,90,90,30,60,90,下,5,3,6,,,
2026-07-28,中型,4,"15,17",400加厚,上午,8,,15,14,3,16,,,1025,1120,260,320,530,840,17,3,2,7,2,1130,60,90,90,30,60,90,下,11,13,16,20,,
2026-07-28,中型,1,"23,24",P900,下午,6,6,3,2,1,,,,1330,1440,290,380,580,860,14,6,2,10,3,1450,60,85,85,30,60,90,下,3,2,1,,,
2026-07-28,中型,2,"34,35",600,下午,8,,17,10,21,18,,,1500,1535,270,320,530,930,14,4,3,9,1,1545,60,85,85,30,60,90,下,15,14,3,16,,
2026-07-28,中型,3,"40,41",600,下午,8,,1,9,5,4,,,1555,1635,270,320,530,930,19,6,3,9,4,1645,60,85,85,30,60,90,下,3,5,2,,,
2026-07-28,中型,4,"49,50",800,下午,6,,2,5,6,,,,1650,1735,280,320,530,980,15,4,3,11,2,1740,60,85,85,30,60,90,下,,,,,,
