日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-17,小型,1,25,300,下午,12,,39,29,49,3,14,40,1304,1324,280,350,500,900,8,1,3,7,4,1432,60,80,80,30,60,90,下,39,29,49,3,14,40
2026-07-17,小型,2,28,400,下午,10,,5,13,25,10,46,,1335,1353,280,350,500,900,5,1,3,7,4,1432,60,80,80,30,60,90,中,5,13,25,10,46,
2026-07-17,小型,3,30,400,下午,10,,43,44,19,32,12,,1404,1422,280,350,500,900,6,1,3,7,4,1432,60,80,80,30,60,90,下,43,44,19,32,12,
2026-07-17,小型,4,34,400,下午,10,,14,41,11,29,40,,1440,1459,280,350,500,900,7,1,3,7,2,1608,60,80,80,30,60,90,中,14,41,11,29,40,
2026-07-17,小型,5,37,400,下午,10,,24,26,2,21,31,,1511,1528,280,350,500,900,5,1,3,7,2,1608,60,80,80,30,60,90,上,24,26,2,21,31,
2026-07-17,小型,6,41,400,下午,10,,17,45,33,4,16,,1540,1559,280,350,500,900,8,1,3,7,2,1717,60,80,80,30,60,90,下,17,45,33,4,16,
2026-07-17,小型,7,45,400,下午,10,2,,35,34,36,30,,1616,1636,280,350,500,900,6,1,3,7,3,1717,60,80,80,30,60,90,中,,35,34,36,30,
2026-07-17,小型,8,"46,47",400_2.4,下午,5,,28,22,15,3,8,,1646,1704,280,350,500,900,7,,1,7,3,1717,60,80,80,30,60,90,上,28,22,15,3,8,
2026-07-17,中型,1,"1,2",800,上午,6,,3,6,5,,,,0755,0835,280,320,530,980,15,6,3,11,1,0835,60,90,90,30,60,90,下,3,6,5,,,
2026-07-17,中型,2,"4,5",800,上午,4,,4,1,,,,,0845,0925,280,320,530,980,14,6,3,11,4,0935,60,90,90,30,60,90,下,4,1,,,,
2026-07-17,中型,2,"4,5",700,上午,2,,,,5,,,,0845,0925,280,320,530,980,14,6,3,11,4,0935,60,90,90,30,60,90,下,,,5,,,
2026-07-17,中型,3,"11,12,13",700,上午,6,,2,4,7,,,,0935,1010,270,320,530,930,14,4,3,9,2,1020,60,90,90,30,60,90,下,2,4,7,,,
2026-07-17,中型,4,"17,18",600,上午,6,,19,3,11,13,,,1020,1100,270,320,530,930,18,6,3,9,3,1200,60,90,90,30,60,90,下,19,3,11,13,,
2026-07-17,中型,5,"23,24",600,上午,8,,2,7,1,9,,,1110,1150,270,320,530,930,13,4,3,9,3,1200,60,90,90,30,60,90,上,2,7,1,9,,
2026-07-17,中型,1,"26,27",P900,下午,10,10,4,3,2,,,,1305,1415,290,380,580,860,14,4,2,10,4,1425,60,85,85,30,60,90,下,4,3,2,,,
2026-07-17,中型,2,"32,33",800,下午,6,,6,3,5,,,,1430,1505,280,320,530,980,12,6,3,11,1,1515,60,85,85,30,60,90,下,6,3,5,,,
2026-07-17,中型,3,"38,39",800,下午,4,,4,1,,,,,1515,1555,280,320,530,980,13,6,3,11,2,1605,60,85,85,30,60,90,下,4,1,,,,
2026-07-17,中型,3,"38,39",700,下午,2,,,,5,,,,1515,1555,280,320,530,980,13,6,3,11,2,1605,60,85,85,30,60,90,下,,,5,,,
2026-07-17,中型,4,"43,44",700,下午,6,,4,7,2,,,,1605,1655,270,320,530,930,14,6,3,9,3,1705,60,85,85,30,60,90,下,4,7,2,,,
