日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-21,中型,1,1,T型 1350_1.15,下午,1,,2,,,,,,1335,1425,340,480,600,1040,12,6,5,16,2,1435,60,85,85,30,60,90,下,2,,,,,
2026-07-21,中型,2,"10,11",P900,下午,2,2,3,2,,,,,1435,1535,290,380,580,860,10,6,2,10,1,1545,60,85,85,30,60,90,下,3,2,,,,
2026-07-21,中型,3,"23,24",800,下午,6,,6,5,3,,,,1555,1640,280,320,530,980,13,6,3,11,3,1650,60,85,85,30,60,90,下,6,5,3,,,
