日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-29,小型,1,23,300,下午,12,,37,41,25,2,43,24,1301,1319,280,350,500,900,6,1,3,7,2,1400,60,80,80,30,60,90,下,37,41,25,2,43,24
2026-07-29,小型,2,26,400,下午,10,,13,44,26,2,24,,1331,1349,280,350,500,900,6,1,3,7,2,1400,60,80,80,30,60,90,中,13,44,26,2,24,
2026-07-29,小型,3,29,400,下午,10,,40,19,36,21,14,,1402,1419,280,350,500,900,6,1,3,7,1,1513,60,80,80,30,60,90,下,40,19,36,21,14,
2026-07-29,小型,4,34,400,下午,10,,32,4,10,35,12,,1439,1500,280,350,500,900,9,1,3,7,1,1513,60,80,80,30,60,90,中,32,4,10,35,12,
2026-07-29,小型,5,38,400,下午,10,,5,25,16,29,43,,1513,1531,280,350,500,900,6,1,3,7,3,1614,60,80,80,30,60,90,下,5,25,16,29,43,
2026-07-29,小型,6,"42,43",400_2.4,下午,5,,8,3,22,28,15,,1543,1605,280,350,500,900,8,1,3,7,3,1614,60,80,80,30,60,90,中,8,3,22,28,15,
2026-07-29,小型,7,"45,46",500,下午,8,,21,22,27,26,,,1614,1635,280,350,500,900,7,1,3,7,4,1712,60,80,80,30,60,90,下,21,22,27,26,,
2026-07-29,小型,8,"50,51",500,下午,8,,25,2,18,7,,,1644,1705,280,350,500,900,7,,,7,4,1712,60,80,80,30,60,90,中,25,2,18,7,,
2026-07-29,中型,1,"1,2",800,上午,6,,3,4,1,,,,0750,0830,280,320,530,980,12,4,3,11,4,0840,60,90,90,30,60,90,下,3,4,1,,,
2026-07-29,中型,2,"3,4",800,上午,6,,5,6,2,,,,0840,0920,280,320,530,980,12,4,3,11,2,0930,60,90,90,30,60,90,下,5,6,2,,,
2026-07-29,中型,3,"6,7",700,上午,6,,5,3,6,,,,0930,1005,270,320,530,930,13,6,3,10,3,1015,60,90,90,30,60,90,下,5,3,6,,,
2026-07-29,中型,4,"13,15",400加厚,上午,8,,3,16,15,14,,,1015,1120,260,320,530,840,15,3,2,7,1,1130,60,90,90,30,60,90,下,3,16,15,14,,
2026-07-29,中型,1,"24,25",P900,下午,6,6,3,2,1,,,,1305,1415,290,380,580,860,13,5,2,10,4,1425,60,85,85,30,60,90,下,3,2,1,,,
2026-07-29,中型,2,"32,33",600,下午,8,,21,18,17,10,,,1430,1510,270,320,530,930,18,6,3,9,2,1520,60,85,85,30,60,90,下,21,18,17,10,,
2026-07-29,中型,3,"39,40",600,下午,8,,1,9,5,4,,,1525,1605,270,320,530,930,14,4,3,9,3,1615,60,85,85,30,60,90,下,1,9,5,4,,
2026-07-29,中型,4,"47,48",800,下午,6,,5,2,1,,,,1625,1705,280,320,530,980,15,4,3,11,1,1715,60,85,85,30,60,90,下,5,2,1,,,
