日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-09,小型,1,26,300,下午,12,,29,3,39,49,40,14,1304,1323,280,350,500,900,7,1,3,7,1,1404,60,80,80,30,60,90,下,29,3,39,49,40,14
2026-07-09,小型,2,30,400,下午,10,,44,41,33,18,6,,1336,1354,280,350,500,900,6,1,3,7,1,1404,60,80,80,30,60,90,中,44,41,33,18,6,
2026-07-09,小型,3,33,400,下午,10,,35,43,11,38,45,,1405,1422,280,350,500,900,6,1,2,7,2,1507,60,80,80,30,60,90,下,35,43,11,38,45,
2026-07-09,小型,4,37,400,下午,10,,31,24,20,32,27,,1432,1449,280,350,500,900,6,1,3,7,2,1507,60,80,80,30,60,90,中,31,24,20,32,27,
2026-07-09,小型,5,41,400,下午,10,,19,10,16,29,26,,1502,1519,280,350,500,900,6,1,3,7,4,1608,60,80,80,30,60,90,下,19,10,16,29,26,
2026-07-09,小型,6,46,400,下午,10,,2,21,34,36,40,,1539,1558,280,350,500,900,7,1,3,7,4,1608,60,80,80,30,60,90,中,2,21,34,36,40,
2026-07-09,小型,7,50,400,下午,10,,14,12,9,37,42,,1609,1627,280,350,500,900,6,1,3,7,3,1715,60,80,80,30,60,90,下,14,12,9,37,42,
2026-07-09,小型,8,"55,56",400_2.4,下午,5,,8,3,22,28,15,,1639,1701,280,350,500,900,7,1,3,7,3,1715,60,80,80,30,60,90,中,8,3,22,28,15,
2026-07-09,中型,1,"1,2",800,上午,6,,4,5,3,,,,0750,0830,280,320,530,980,13,4,3,11,1,0840,60,90,90,30,60,90,下,4,5,3,,,
2026-07-09,中型,2,"3,4",800,上午,4,,1,6,,,,,0840,0915,280,320,530,980,11,4,3,11,4,0925,60,90,90,30,60,90,下,1,6,,,,
2026-07-09,中型,2,"3,4",700,上午,2,,,,2,,,,0840,0915,280,320,530,980,11,4,3,11,4,0925,60,90,90,30,60,90,下,,,2,,,
2026-07-09,中型,3,"10,11",600,上午,8,,1,9,7,2,,,0925,0955,270,320,530,930,12,4,3,9,3,1005,60,90,90,30,60,90,下,1,9,7,2,,
2026-07-09,中型,4,"15,16",700,上午,6,,3,6,7,,,,1005,1040,270,320,530,930,11,4,3,10,2,1140,,,,,,,下,3,6,7,,,
2026-07-09,中型,5,"21,22",E型 1000,上午,4,,4,5,,,,,1050,1130,290,340,530,980,13,4,3,11,2,1140,,,,,,,上,4,5,,,,
2026-07-09,中型,1,"27,28",E型 1200,下午,4,,2,4,,,,,1305,1350,340,480,600,1080,13,4,2,16,1,1400,60,85,85,30,60,90,下,2,4,,,,
2026-07-09,中型,2,"34,35",P900,下午,10,10,4,3,2,,,,1405,1515,290,380,580,860,14,4,2,10,4,1525,60,85,85,30,60,90,下,4,3,2,,,
2026-07-09,中型,3,"44,45",800,下午,6,,4,3,5,,,,1525,1600,280,320,530,980,11,3,3,11,3,1610,60,85,85,30,60,90,下,4,3,5,,,
2026-07-09,中型,4,"51,52",800,下午,4,,6,1,,,,,1610,1650,280,320,530,980,12,4,3,11,2,1700,60,85,85,30,60,90,下,6,1,,,,
2026-07-09,中型,4,"51,52",700,下午,2,,,,2,,,,1610,1650,280,320,530,980,12,4,3,11,2,1700,60,85,85,30,60,90,下,,,2,,,
