日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-15,小型,1,25,300,下午,12,,14,40,29,3,39,49,1304,1322,280,350,500,900,7,1,3,7,4,1403,60,80,80,30,60,90,下,14,40,29,3,39,49
2026-07-15,小型,2,29,400,下午,10,,19,33,32,31,30,,1334,1352,280,350,500,900,5,1,3,7,4,1403,60,80,80,30,60,90,中,19,33,32,31,30,
2026-07-15,小型,3,33,400,下午,10,2,18,14,12,45,,,1402,1419,280,350,500,900,5,1,2,7,2,1501,60,80,80,30,60,90,下,18,14,12,45,,
2026-07-15,小型,4,35,400,下午,10,,43,44,16,35,6,,1432,1450,280,350,500,900,6,1,3,7,2,1501,60,80,80,30,60,90,中,43,44,16,35,6,
2026-07-15,小型,5,39,400,下午,10,,2,21,10,5,11,,1502,1521,280,350,500,900,6,1,3,7,1,1608,60,80,80,30,60,90,下,2,21,10,5,11,
2026-07-15,小型,6,42,400,下午,10,,29,40,24,26,25,,1536,1555,280,350,500,900,7,1,3,7,1,1608,60,80,80,30,60,90,中,29,40,24,26,25,
2026-07-15,小型,7,43,400,下午,10,,41,4,46,39,38,,1610,1632,280,350,500,900,8,1,3,7,3,1714,60,80,80,30,60,90,下,41,4,46,39,38,
2026-07-15,小型,8,"46,47",400_2.4,下午,5,,8,15,22,3,28,,1641,1703,280,350,500,900,8,1,3,7,3,1714,60,80,80,30,60,90,中,8,15,22,3,28,
2026-07-15,中型,1,"1,2",800,上午,6,,4,3,5,,,,0755,0830,280,320,530,980,12,4,3,11,3,0840,60,90,90,30,60,90,下,4,3,5,,,
2026-07-15,中型,2,"4,5",800,上午,4,,1,6,,,,,0840,0920,280,320,530,980,12,6,3,11,4,0930,60,90,90,30,60,90,下,1,6,,,,
2026-07-15,中型,2,"4,5",700,上午,2,,,,7,,,,0840,0920,280,320,530,980,12,6,3,11,4,0930,60,90,90,30,60,90,下,,,7,,,
2026-07-15,中型,3,"10,11",700,上午,4,,6,4,,,,,0930,1000,270,320,530,930,11,3,3,9,2,1010,60,90,90,30,60,90,下,6,4,,,,
2026-07-15,中型,3,"10,11",700_0.5,上午,6,,,,3,,,,0930,1000,270,320,530,930,11,3,3,9,2,1010,60,90,90,30,60,90,下,,,3,,,
2026-07-15,中型,4,"17,18",600,上午,8,,11,13,1,9,,,1015,1050,270,320,530,930,14,3,3,9,1,1145,60,90,90,30,60,90,下,11,13,1,9,,
2026-07-15,中型,5,"23,24",600,上午,8,,19,3,7,2,,,1100,1135,270,320,530,930,11,3,3,9,1,1145,60,90,90,30,60,90,上,19,3,7,2,,
2026-07-15,中型,1,"26,27",P900,下午,10,10,4,3,2,,,,1305,1420,290,380,580,860,12,4,2,10,4,1430,60,85,85,30,60,90,下,4,3,2,,,
2026-07-15,中型,2,"36,37",800,下午,6,,4,3,6,,,,1435,1510,280,320,530,980,12,4,3,11,3,1520,60,85,85,30,60,90,下,4,3,6,,,
2026-07-15,中型,3,"40,41",800,下午,4,,5,1,,,,,1525,1600,280,320,530,980,13,4,3,11,2,1610,60,85,85,30,60,90,下,5,1,,,,
2026-07-15,中型,3,"40,41",700,下午,2,,,,7,,,,1525,1600,280,320,530,980,13,4,3,11,2,1610,60,85,85,30,60,90,下,,,7,,,
2026-07-15,中型,4,"44,45",700,下午,6,,6,4,2,,,,1610,1650,270,320,530,930,12,3,3,9,1,1700,60,85,85,30,60,90,下,6,4,2,,,
