日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-30,小型,1,23,300,下午,12,,20,34,31,48,13,35,1301,1316,280,350,500,900,6,1,,7,3,1355,60,80,80,30,60,90,下,20,34,31,48,13,35
2026-07-30,小型,2,26,400,下午,10,,13,44,2,26,16,,1327,1343,280,350,500,900,7,,3,7,3,1355,60,80,80,30,60,90,中,13,44,2,26,16,
2026-07-30,小型,3,28,400,下午,10,,43,21,29,4,35,,1355,1412,280,350,500,900,5,1,3,7,1,1450,60,80,80,30,60,90,下,43,21,29,4,35,
2026-07-30,小型,4,31,400,下午,10,,11,33,24,32,14,,1423,1437,280,350,500,900,6,,,7,1,1450,60,80,80,30,60,90,中,11,33,24,32,14,
2026-07-30,小型,5,35,400,下午,10,,18,5,25,12,10,,1450,1509,280,350,500,900,7,1,3,7,2,1549,60,80,80,30,60,90,下,18,5,25,12,10,
2026-07-30,小型,6,"38,39",400_2.4,下午,5,,8,3,15,22,28,,1521,1540,280,350,500,900,6,1,3,7,2,1549,60,80,80,30,60,90,中,8,3,15,22,28,
2026-07-30,小型,7,"43,44",500,下午,8,,25,2,18,7,,,1548,1609,280,350,500,900,7,1,3,7,4,1651,60,80,80,30,60,90,下,25,2,18,7,,
2026-07-30,小型,8,"48,49",500,下午,8,,21,22,27,26,,,1622,1644,280,350,500,900,7,1,3,7,4,1651,60,80,80,30,60,90,中,21,22,27,26,,
2026-07-30,中型,1,"1,2",800,上午,6,,6,4,2,,,,0750,0830,280,320,530,980,12,3,3,11,3,0840,60,90,90,30,60,90,下,6,4,2,,,
2026-07-30,中型,2,"3,4",800,上午,6,,1,2,5,,,,0840,0915,280,320,530,980,12,4,3,11,1,0925,60,90,90,30,60,90,下,1,2,5,,,
2026-07-30,中型,3,"8,9",700,上午,6,,6,5,3,,,,0930,1005,270,320,530,930,12,4,3,10,4,1015,60,90,90,30,60,90,下,6,5,3,,,
2026-07-30,中型,4,"16,18",400加厚,上午,8,,3,16,15,14,,,1020,1125,260,320,530,840,15,3,2,7,2,1135,60,90,90,30,60,90,下,3,16,15,14,,
2026-07-30,中型,1,"24,25",P900,下午,6,6,3,2,1,,,,1305,1415,290,380,580,860,12,4,2,10,3,1425,60,85,85,30,60,90,下,3,2,1,,,
2026-07-30,中型,2,"32,33",600,下午,8,,5,4,1,9,,,1430,1505,270,320,530,930,15,5,3,9,1,1515,60,85,85,30,60,90,下,5,4,1,9,,
2026-07-30,中型,3,"40,41",600,下午,8,,21,18,17,10,,,1530,1615,270,320,530,930,18,6,3,9,4,1625,60,85,85,30,60,90,下,21,18,17,10,,
2026-07-30,中型,4,"50,51",800,下午,6,,5,4,1,,,,1630,1720,280,320,530,980,15,6,3,11,2,1730,60,85,85,30,60,90,下,5,4,1,,,
