日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-04,中型,1,"1,2",800,上午,6,,4,6,3,,,,0750,0830,280,320,530,980,12,6,3,11,3,0840,60,90,90,30,60,90,下,4,6,3,,,
2026-07-04,中型,2,"3,4",600,上午,8,,16,14,11,20,,,0840,0915,270,320,530,930,12,4,3,9,1,0925,60,90,90,30,60,90,下,16,14,11,20,,
2026-07-04,中型,3,"6,7",E型 1200,上午,4,,4,2,,,,,0930,1015,340,480,600,1080,14,7,2,16,2,1025,60,90,90,30,60,90,下,4,2,,,,
2026-07-04,中型,4,"14,15,16",P1200,上午,4,4,4,10,,,,,1025,1130,330,460,680,860,11,4,2,11,4,1140,60,90,90,30,60,90,下,4,10,,,,
2026-07-04,中型,1,"19,20",P900,下午,10,10,4,3,2,,,,1305,1420,295,380,580,860,21,8,2,10,3,1430,60,85,85,30,60,90,下,4,3,2,,,
2026-07-04,中型,2,"29,30",600,下午,8,,2,19,9,1,,,1430,1505,270,320,530,930,14,4,3,9,2,1515,60,85,85,30,60,90,下,2,19,9,1,,
2026-07-04,中型,3,"32,33",800,下午,6,,1,5,3,,,,1515,1555,280,320,530,980,13,6,3,11,1,1605,60,85,85,30,60,90,下,1,5,3,,,
2026-07-04,中型,4,"34,35",E型 1200,下午,4,,4,2,,,,,1610,1700,340,480,600,1080,21,8,2,16,4,1710,60,85,85,30,60,90,下,4,2,,,,
