日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-02,小型,1,25,300,下午,12,,27,44,46,7,36,38,1304,1323,280,350,500,900,7,1,3,7,1,1403,60,80,80,30,60,90,下,27,44,46,7,36,38
2026-07-02,小型,2,29,400,下午,10,,19,36,20,45,11,,1335,1354,280,350,500,900,6,1,3,7,1,1403,60,80,80,30,60,90,中,19,36,20,45,11,
2026-07-02,小型,3,34,400,下午,10,,42,9,31,40,16,,1406,1424,280,350,500,900,6,1,3,7,4,1509,60,80,80,30,60,90,下,42,9,31,40,16,
2026-07-02,小型,4,38,400,下午,10,,39,33,25,12,18,,1440,1459,280,350,500,900,6,1,3,7,4,1509,60,80,80,30,60,90,中,39,33,25,12,18,
2026-07-02,小型,5,41,400,下午,10,,29,5,4,41,44,,1509,1528,280,350,500,900,7,1,3,7,3,1609,60,80,80,30,60,90,下,29,5,4,41,44,
2026-07-02,小型,6,45,400,下午,10,,38,14,27,32,23,,1539,1558,280,350,500,900,7,1,3,7,3,1609,60,80,80,30,60,90,中,38,14,27,32,23,
2026-07-02,小型,7,46,400,下午,10,,24,46,2,34,10,,1608,1626,280,350,500,900,6,1,3,7,2,1713,60,80,80,30,60,90,下,24,46,2,34,10,
2026-07-02,小型,8,"49,50",400_2.4,下午,5,,8,28,22,3,15,,1637,1700,280,350,500,900,7,1,3,7,2,1713,60,80,80,30,60,90,中,8,28,22,3,15,
2026-07-02,中型,1,"1,2",800,上午,6,,5,1,6,,,,0755,0835,280,320,530,980,16,6,3,11,4,0840,60,90,90,30,60,90,下,5,1,6,,,
2026-07-02,中型,2,"3,4",600,上午,8,,16,14,11,20,,,0845,0920,270,320,530,930,14,6,3,9,3,0925,60,90,90,30,60,90,下,16,14,11,20,,
2026-07-02,中型,3,"11,12",E型 1200,上午,4,,2,4,,,,,0945,1040,340,480,600,1080,17,8,2,16,1,1030,60,90,90,30,60,90,下,2,4,,,,
2026-07-02,中型,4,"21,22,23",P1200,上午,4,4,4,10,,,,,1050,1155,330,460,680,860,15,4,2,11,2,1145,60,90,90,30,60,90,下,4,10,,,,
2026-07-02,中型,1,"26,27",P900,下午,10,10,4,3,2,,,,1305,1415,295,380,580,860,15,5,2,10,4,1425,60,85,85,30,60,90,下,4,3,2,,,
2026-07-02,中型,2,"36,37",600,下午,8,,2,19,9,1,,,1430,1505,270,320,530,930,15,4,2,9,1,1515,60,85,85,30,60,90,下,2,19,9,1,,
2026-07-02,中型,3,"42,43",800,下午,6,,5,1,6,,,,1515,1555,280,320,530,980,13,7,2,11,3,1605,60,85,85,30,60,90,下,5,1,6,,,
2026-07-02,中型,4,"47,48",E型 1200,下午,4,,2,4,,,,,1610,1705,340,480,600,1080,19,8,2,16,2,1715,60,85,85,30,60,90,下,2,4,,,,
