日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-13,小型,1,21,300,下午,12,,14,40,39,49,29,3,1304,1323,280,350,500,900,7,1,3,7,2,1404,60,80,80,30,60,90,下,14,40,39,49,29,3
2026-07-13,小型,2,24,400,下午,10,,41,9,27,20,33,,1334,1353,280,350,500,900,6,1,3,7,2,1404,60,80,80,30,60,90,中,41,9,27,20,33,
2026-07-13,小型,3,26,400,下午,10,,2,21,19,10,24,,1404,1424,280,350,500,900,7,1,2,7,4,1507,60,80,80,30,60,90,下,2,21,19,10,24,
2026-07-13,小型,4,30,400,下午,10,,42,45,32,31,5,,1442,1501,280,350,500,900,6,1,3,7,4,1507,60,80,80,30,60,90,中,42,45,32,31,5,
2026-07-13,小型,5,33,400,下午,10,,26,16,14,12,30,,1513,1531,280,350,500,900,6,1,3,7,3,1608,60,80,80,30,60,90,下,26,16,14,12,30,
2026-07-13,小型,6,37,400,下午,10,,11,38,35,43,18,,1543,1602,280,350,500,900,7,1,3,7,3,1608,60,80,80,30,60,90,中,11,38,35,43,18,
2026-07-13,小型,7,38,400,下午,10,,29,40,34,36,44,,1612,1631,280,350,500,900,6,1,3,7,1,1715,60,80,80,30,60,90,下,29,40,34,36,44,
2026-07-13,小型,8,"41,42",400_2.4,下午,5,,28,8,15,22,3,,1642,1707,280,350,500,900,10,1,3,7,1,1715,60,80,80,30,60,90,中,28,8,15,22,3,
2026-07-13,中型,1,"1,2",800,上午,6,,1,6,4,,,,0755,0830,280,320,530,980,11,5,3,11,2,0840,60,90,90,30,60,90,下,1,6,4,,,
2026-07-13,中型,2,"3,4",800,上午,4,,5,3,,,,,0840,0915,280,320,530,980,14,4,3,11,1,0925,60,90,90,30,60,90,下,5,3,,,,
2026-07-13,中型,2,"3,4",700,上午,2,,,,4,,,,0840,0915,280,320,530,980,14,4,3,11,1,0925,60,90,90,30,60,90,下,,,4,,,
2026-07-13,中型,3,"5,6",600,上午,8,,7,2,1,9,,,0930,1010,270,320,530,930,20,6,3,9,4,1110,60,90,90,30,60,90,下,7,2,1,9,,
2026-07-13,中型,4,"12,13",700,上午,6,,2,7,6,,,,1025,1100,270,320,530,930,10,3,3,9,4,1110,60,90,90,30,60,90,上,2,7,6,,,
2026-07-13,中型,5,"18,19",E型 1200,上午,4,,2,4,,,,,1110,1200,340,480,600,1080,17,6,2,16,3,1210,60,90,90,30,60,90,下,2,4,,,,
2026-07-13,中型,1,"22,23",P900,下午,10,10,4,3,2,,,,1305,1415,290,380,580,860,13,4,2,10,2,1425,60,85,85,30,60,90,下,4,3,2,,,
2026-07-13,中型,2,"28,29",800,下午,6,,5,3,4,,,,1430,1510,280,320,530,980,15,6,3,11,1,1520,60,85,85,30,60,90,下,5,3,4,,,
2026-07-13,中型,3,"35,36",800,下午,4,,1,6,,,,,1525,1600,280,320,530,980,12,3,3,11,4,1610,60,85,85,30,60,90,下,1,6,,,,
2026-07-13,中型,3,"35,36",700,下午,2,,,,4,,,,1525,1600,280,320,530,980,12,3,3,11,4,1610,60,85,85,30,60,90,下,,,4,,,
2026-07-13,中型,4,"39,40",700,下午,4,,2,5,,,,,1615,1655,270,320,530,930,13,3,3,9,3,1705,60,85,85,30,60,90,下,2,5,,,,
2026-07-13,中型,4,"39,40",700_0.5,下午,2,,,,3,,,,1615,1655,270,320,530,930,13,3,3,9,3,1705,60,85,85,30,60,90,下,,,3,,,
