日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-08,小型,1,24,300,下午,12,,36,38,46,7,27,44,1304,1325,280,350,500,900,9,1,3,7,1,1404,60,80,80,30,60,90,下,36,38,46,7,27,44
2026-07-08,小型,2,27,400,下午,10,,39,12,5,30,46,,1337,1355,280,350,500,900,6,1,3,7,1,1404,60,80,80,30,60,90,中,39,12,5,30,46,
2026-07-08,小型,3,30,400,下午,10,,31,24,11,6,38,,1405,1421,280,350,500,900,6,,,7,2,1507,60,80,80,30,60,90,下,31,24,11,6,38,
2026-07-08,小型,4,35,400,下午,10,,45,10,33,18,35,,1436,1454,280,350,500,900,6,1,3,7,2,1507,60,80,80,30,60,90,中,45,10,33,18,35,
2026-07-08,小型,5,39,400,下午,10,,34,36,37,16,9,,1509,1528,280,350,500,900,6,1,3,7,4,1608,60,80,80,30,60,90,下,34,36,37,16,9,
2026-07-08,小型,6,44,400,下午,10,,27,19,29,40,26,,1544,1602,280,350,500,900,7,1,2,7,4,1608,60,80,80,30,60,90,中,27,19,29,40,26,
2026-07-08,小型,7,48,400,下午,10,,23,14,42,4,25,,1614,1632,280,350,500,900,6,1,2,7,3,1715,60,80,80,30,60,90,下,23,14,42,4,25,
2026-07-08,小型,8,"52,53",400_2.4,下午,5,,22,28,15,8,3,,1642,1705,280,350,500,900,8,1,2,7,3,1715,60,80,80,30,60,90,中,22,28,15,8,3,
2026-07-08,中型,1,"1,2",800,上午,6,,3,4,5,,,,0750,0830,280,320,530,980,12,4,3,11,3,0840,60,90,90,30,60,90,下,3,4,5,,,
2026-07-08,中型,2,"7,8",600,上午,8,,7,2,1,9,,,0845,0915,270,320,530,930,11,4,3,9,2,0925,60,90,90,30,60,90,下,7,2,1,9,,
2026-07-08,中型,3,"11,12",700,上午,6,,2,6,7,,,,0925,1000,270,320,530,930,12,4,3,10,1,1010,60,90,90,30,60,90,下,2,6,7,,,
2026-07-08,中型,4,"18,19",E型 1000,上午,4,,5,4,,,,,1015,1115,290,340,530,980,24,10,3,11,4,1125,60,90,90,30,60,90,下,5,4,,,,
2026-07-08,中型,1,"25,26",E型 1200,下午,4,,2,4,,,,,1305,1355,340,480,600,1080,15,6,2,16,3,1405,60,85,85,30,60,90,下,2,4,,,,
2026-07-08,中型,2,"31,32",P900,下午,10,10,4,3,2,,,,1405,1520,290,380,580,860,14,4,2,10,2,1530,60,85,85,30,60,90,下,4,3,2,,,
2026-07-08,中型,3,"42,43",800,下午,6,,4,3,5,,,,1530,1610,280,320,530,980,11,6,3,11,1,1620,60,85,85,30,60,90,下,4,3,5,,,
2026-07-08,中型,4,"49,50",800,下午,4,,1,6,,,,,1620,1700,280,320,530,980,14,6,3,11,4,1710,60,85,85,30,60,90,下,1,6,,,,
2026-07-08,中型,4,"49,50",700,下午,2,,,,3,,,,1620,1700,280,320,530,980,14,6,3,11,4,1710,60,85,85,30,60,90,下,,,3,,,
