日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-14,小型,1,24,300,下午,12,,46,7,38,36,24,44,1305,1327,280,350,500,900,10,1,3,7,2,1410,60,80,80,30,60,90,下,46,7,38,36,24,44
2026-07-14,小型,2,27,400,下午,10,,37,23,12,30,6,,1340,1358,280,350,500,900,7,1,3,7,2,1410,60,80,80,30,60,90,中,37,23,12,30,6,
2026-07-14,小型,3,29,400,下午,10,,31,32,9,41,4,,1407,1425,280,350,500,900,7,1,2,7,3,1515,60,80,80,30,60,90,下,31,32,9,41,4,
2026-07-14,小型,4,34,400,下午,10,,42,45,26,16,20,,1443,1505,280,350,500,900,10,1,3,7,3,1515,60,80,80,30,60,90,中,42,45,26,16,20,
2026-07-14,小型,5,38,400,下午,10,,2,21,35,43,33,,1518,1536,280,350,500,900,7,1,3,7,4,1620,60,80,80,30,60,90,下,2,21,35,43,33,
2026-07-14,小型,6,42,400,下午,10,,18,14,24,19,44,,1546,1607,280,350,500,900,9,1,3,7,4,1620,60,80,80,30,60,90,中,18,14,24,19,44,
2026-07-14,小型,7,46,400,下午,10,,29,40,27,11,38,,1617,1636,280,350,500,900,7,1,3,7,1,1730,60,80,80,30,60,90,下,29,40,27,11,38,
2026-07-14,小型,8,"51,52",400_2.4,下午,5,,28,22,3,8,15,,1647,1715,280,350,500,900,12,1,3,7,1,1730,60,80,80,30,60,90,中,28,22,3,8,15,
2026-07-14,中型,1,"1,2",800,上午,6,,3,5,4,,,,0755,0830,280,320,530,980,12,5,3,11,1,0840,60,90,90,30,60,90,下,3,5,4,,,
2026-07-14,中型,2,"3,4",800,上午,4,,1,6,,,,,0840,0915,280,320,530,980,14,6,3,11,3,0925,60,90,90,30,60,90,下,1,6,,,,
2026-07-14,中型,2,"3,4",700,上午,2,,,,4,,,,0840,0915,280,320,530,980,14,6,3,11,3,0925,60,90,90,30,60,90,下,,,4,,,
2026-07-14,中型,3,"9,10",700,上午,4,,6,7,,,,,0930,1010,270,320,530,930,13,6,3,9,2,1020,60,90,90,30,60,90,下,6,7,,,,
2026-07-14,中型,3,"9,10",700_0.5,上午,6,,,,3,,,,0930,1010,270,320,530,930,13,6,3,9,2,1020,60,90,90,30,60,90,下,,,3,,,
2026-07-14,中型,4,"17,18",600,上午,8,,11,13,3,19,,,1020,1055,270,320,530,930,14,3,3,9,4,1145,60,90,90,30,60,90,下,11,13,3,19,,
2026-07-14,中型,5,"22,23",600,上午,8,,7,2,1,9,,,1105,1140,270,320,530,930,16,,3,9,4,1145,60,90,90,30,60,90,上,7,2,1,9,,
2026-07-14,中型,1,"25,26",P900,下午,10,10,4,3,2,,,,1305,1415,290,380,580,860,13,4,2,10,1,1425,60,85,85,30,60,90,下,4,3,2,,,
2026-07-14,中型,2,"32,33",800,下午,6,,4,5,3,,,,1430,1505,280,320,530,980,12,4,3,11,3,1515,60,85,85,30,60,90,下,4,5,3,,,
2026-07-14,中型,3,"39,40",800,下午,4,,6,1,,,,,1530,1600,280,320,530,980,10,3,3,11,2,1610,60,85,85,30,60,90,下,6,1,,,,
2026-07-14,中型,3,"39,40",700,下午,2,,,,6,,,,1530,1600,280,320,530,980,10,3,3,11,2,1610,60,85,85,30,60,90,下,,,6,,,
2026-07-14,中型,4,"47,48",700,下午,6,,4,2,5,,,,1620,1655,270,320,530,930,12,3,3,9,4,1705,60,85,85,30,60,90,下,4,2,5,,,
