日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-24,小型,1,24,300,下午,12,,27,44,45,33,23,8,1301,1323,280,350,500,900,10,1,3,7,2,1404,60,80,80,30,60,90,下,27,44,45,33,23,8
2026-07-24,小型,2,27,400,下午,10,,24,14,43,16,13,,1336,1354,280,350,500,900,6,1,3,7,2,1404,60,80,80,30,60,90,中,24,14,43,16,13,
2026-07-24,小型,3,30,400,下午,10,,19,40,34,36,29,,1408,1427,280,350,500,900,7,1,3,7,4,1512,60,80,80,30,60,90,下,19,40,34,36,29,
2026-07-24,小型,4,35,400,下午,10,,32,26,11,35,21,,1442,1501,280,350,500,900,7,1,3,7,4,1512,60,80,80,30,60,90,中,32,26,11,35,21,
2026-07-24,小型,5,39,400,下午,10,,44,18,10,46,30,,1512,1530,280,350,500,900,6,1,3,7,3,1612,60,80,80,30,60,90,下,44,18,10,46,30,
2026-07-24,小型,6,"42,43",400_2.4,下午,5,,8,28,22,15,3,,1540,1602,280,350,500,900,8,1,3,7,3,1612,60,80,80,30,60,90,中,8,28,22,15,3,
2026-07-24,小型,7,"47,48",500,下午,8,,8,17,23,24,,,1611,1635,280,350,500,900,8,1,3,7,1,1712,60,80,80,30,60,90,下,8,17,23,24,,
2026-07-24,小型,8,"51,52",500,下午,8,,20,5,6,19,,,1643,1705,280,350,500,900,7,1,3,7,1,1712,60,80,80,30,60,90,中,20,5,6,19,,
2026-07-24,中型,1,"1,2,3",P1200,上午,4,4,10,4,,,,,0750,0855,330,460,680,860,12,4,2,11,2,0905,60,90,90,30,60,90,下,8,7,9,,,
2026-07-24,中型,2,"5,6,7",P1200,上午,5,5,9,3,,,,,0905,1010,330,460,680,860,13,5,2,11,4,1020,60,90,90,30,60,90,下,4,10,,,,
2026-07-24,中型,3,"18,19,20",E型 1200_2.35,上午,2,,3,1,,,,,1025,1115,340,480,600,1080,15,6,2,16,1,1125,60,90,90,30,60,90,下,9,3,,,,
2026-07-24,中型,1,"25,26",E型 1200,下午,14,10,4,2,,,,,1305,1415,340,480,600,860,15,6,2,11,2,1425,60,85,85,30,60,90,下,2,4,,,,
2026-07-24,中型,2,"32,33",P900,下午,4,4,3,2,,,,,1425,1530,290,380,580,860,15,6,2,10,4,1540,60,85,85,30,60,90,下,3,2,,,,
2026-07-24,中型,3,"44,45",800,下午,6,,2,5,3,,,,1550,1630,280,320,530,980,14,6,3,11,1,1640,60,85,85,30,60,90,下,1,4,6,,,
