日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-27,小型,1,23,300,下午,12,,4,16,12,32,30,42,1302,1319,280,350,500,900,6,1,3,7,2,1401,60,80,80,30,60,90,下,4,16,12,32,30,42
2026-07-27,小型,2,27,400,下午,10,,43,16,24,14,12,,1331,1349,280,350,500,900,6,1,3,7,2,1401,60,80,80,30,60,90,中,43,16,24,14,12,
2026-07-27,小型,3,32,400,下午,10,,11,35,32,26,2,,1402,1420,280,350,500,900,6,1,3,7,4,1513,60,80,80,30,60,90,下,11,35,32,26,2,
2026-07-27,小型,4,34,400,下午,10,,36,21,19,40,4,,1432,1453,280,350,500,900,8,1,3,7,4,1513,60,80,80,30,60,90,中,36,21,19,40,4,
2026-07-27,小型,5,38,400,下午,10,,29,34,45,5,25,,1504,1521,280,350,500,900,6,1,3,7,3,1604,60,80,80,30,60,90,下,29,34,45,5,25,
2026-07-27,小型,6,"42,43",400_2.4,下午,5,,22,28,15,8,3,,1536,1553,280,350,500,900,7,,,7,3,1604,60,80,80,30,60,90,中,22,28,15,8,3,
2026-07-27,小型,7,48,500,下午,8,,18,7,21,22,,,1606,1627,280,350,500,900,7,1,3,7,1,1704,60,80,80,30,60,90,下,18,7,21,22,,
2026-07-27,小型,8,"51,52",500,下午,8,,26,27,25,2,,,1637,1654,280,350,500,900,7,,1,7,1,1704,60,80,80,30,60,90,中,26,27,25,2,,
2026-07-27,中型,1,"1,2",800,上午,6,,6,1,4,,,,0755,0845,280,320,530,980,20,13,3,11,4,0855,60,90,90,30,60,90,下,6,1,4,,,
2026-07-27,中型,2,"3,4",800,上午,6,,5,3,2,,,,0855,0935,280,320,530,980,17,6,3,11,1,,60,90,90,30,60,90,下,5,3,2,,,
2026-07-27,中型,3,"6,7",700,上午,6,,5,3,6,,,,0950,1025,270,320,530,930,14,4,3,10,3,1035,60,90,90,30,60,90,下,5,3,6,,,
2026-07-27,中型,4,"14,15",600,上午,8,,11,13,16,20,,,1035,1115,270,320,530,930,19,6,3,9,2,1125,60,90,90,30,60,90,下,11,13,16,20,,
2026-07-27,中型,1,"24,25",P900,下午,6,6,3,2,1,,,,1305,1415,290,380,580,860,12,5,2,10,4,1425,60,85,85,30,60,90,下,3,2,1,,,
2026-07-27,中型,2,"35,36",400加厚,下午,8,,15,14,3,16,,,1425,1535,260,320,530,840,18,3,2,7,3,1545,60,85,85,30,60,90,下,15,14,3,16,,
2026-07-27,中型,3,"45,46",800,下午,6,,3,5,2,,,,1550,1635,280,320,530,980,13,3,3,11,2,1645,60,85,85,30,60,90,下,3,5,2,,,
