日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-07,小型,1,25,300,下午,12,,29,3,40,14,39,49,1303,1324,280,350,500,900,8,1,3,7,1,1404,60,80,80,30,60,90,下,29,3,40,14,39,49
2026-07-07,小型,2,28,400,下午,10,,4,23,41,44,42,,1335,1354,280,350,500,900,6,1,3,7,1,1404,60,80,80,30,60,90,中,4,23,41,44,42,
2026-07-07,小型,3,29,400,下午,10,,36,34,24,9,29,,1404,1422,280,350,500,900,6,1,3,7,2,1507,60,80,80,30,60,90,下,36,34,24,9,29,
2026-07-07,小型,4,34,400,下午,10,,39,12,45,10,31,,1435,1454,280,350,500,900,6,1,3,7,2,1507,60,80,80,30,60,90,中,39,12,45,10,31,
2026-07-07,小型,5,39,400,下午,10,,27,19,43,40,25,,1506,1524,280,350,500,900,5,1,3,7,4,1608,60,80,80,30,60,90,下,27,19,43,40,25,
2026-07-07,小型,6,42,400,下午,10,,37,16,18,33,26,,1538,1555,280,350,500,900,6,1,3,7,4,1608,60,80,80,30,60,90,中,37,16,18,33,26,
2026-07-07,小型,7,46,400,下午,10,,2,21,32,14,20,,1608,1626,280,350,500,900,6,1,3,7,3,1715,60,80,80,30,60,90,下,2,21,32,14,20,
2026-07-07,小型,8,"51,52",400_2.4,下午,5,,15,8,3,22,28,,1639,1704,280,350,500,900,9,1,3,7,3,1715,60,80,80,30,60,90,中,15,8,3,22,28,
2026-07-07,中型,1,"1,2",800,上午,6,,3,4,6,,,,0750,0830,280,320,530,980,12,4,3,11,3,0840,60,90,90,30,60,90,下,3,4,6,,,
2026-07-07,中型,2,"3,4",800,上午,4,,1,5,,,,,0845,0920,280,320,530,980,12,4,3,11,4,0930,60,90,90,30,60,90,下,1,5,,,,
2026-07-07,中型,2,"3,4",700,上午,2,,,,3,,,,0845,0920,280,320,530,980,12,4,3,11,4,0930,60,90,90,30,60,90,下,,,3,,,
2026-07-07,中型,3,"8,9",600,上午,8,,7,2,1,9,,,0930,1005,270,320,530,930,15,4,3,9,1,1105,60,90,90,30,60,90,下,7,2,1,9,,
2026-07-07,中型,4,"15,16",700,上午,6,,6,7,2,,,,1025,1055,270,320,530,930,12,5,3,9,2,1215,60,90,90,30,60,90,下,6,7,2,,,
2026-07-07,中型,5,"21,22",E型 1000,上午,4,,4,5,,,,,1105,1205,295,340,530,980,26,8,3,11,2,1215,60,90,90,30,60,90,上,4,5,,,,
2026-07-07,中型,1,"26,27",E型 1200,下午,4,,4,2,,,,,1305,1355,340,480,600,1080,14,5,2,16,3,1405,60,85,85,30,60,90,下,4,2,,,,
2026-07-07,中型,2,"31,32",P900,下午,10,10,4,3,2,,,,1410,1420,290,380,580,860,13,4,2,10,4,1430,60,85,85,30,60,90,下,4,3,2,,,
2026-07-07,中型,3,"43,44",800,下午,6,,4,3,5,,,,1440,1515,280,320,530,980,13,4,3,11,1,1525,60,85,85,30,60,90,下,4,3,5,,,
2026-07-07,中型,4,"49,50",800,下午,4,,1,6,,,,,1525,1710,280,320,530,980,12,5,3,11,2,1720,60,85,85,30,60,90,下,1,6,,,,
2026-07-07,中型,4,"49,50",700,下午,2,,,,3,,,,1525,1710,280,320,530,980,12,5,3,11,2,1720,60,85,85,30,60,90,下,,,3,,,
