日期,類型,番數,序,品項,時段,生產數量(支數),生產量修正(+/-量),轉位1,轉位2,轉位3,轉位4,轉位5,轉位6,離心開始,離心結束,加料轉速,慢速轉速,中速轉速,高速轉速,加料時間,慢速時間,中速時間,高速時間,蒸養池,入池時間,蒸養溫度1,蒸養溫度2,蒸養溫度3,蒸養階段1,蒸養階段2,蒸養階段3,位置,排列1,排列2,排列3,排列4,排列5,排列6
2026-07-03,小型,1,21,300,下午,12,,40,14,29,3,39,49,1304,1321,280,350,500,900,6,1,3,7,1,1403,60,80,80,30,60,90,下,40,14,29,3,39,49
2026-07-03,小型,2,25,400,下午,10,,19,11,45,36,20,,1332,1353,280,350,500,900,8,1,3,7,1,1403,60,80,80,30,60,90,中,19,11,45,36,20,
2026-07-03,小型,3,30,400,下午,10,,31,40,16,33,43,,1403,1421,280,350,500,900,6,1,3,7,4,1508,60,80,80,30,60,90,下,31,40,16,33,43,
2026-07-03,小型,4,35,400,下午,10,,18,25,12,39,37,,1437,1457,280,350,500,900,7,1,3,7,4,1508,60,80,80,30,60,90,中,18,25,12,39,37,
2026-07-03,小型,5,38,400,下午,10,,41,44,34,10,21,,1508,1527,280,350,500,900,7,1,3,7,2,1610,60,80,80,30,60,90,下,41,44,34,10,21,
2026-07-03,小型,6,43,400,下午,10,,46,2,9,42,24,,1537,1550,280,350,500,900,9,1,3,7,2,1610,60,80,80,30,60,90,中,46,2,9,42,24,
2026-07-03,小型,7,45,400,下午,10,,23,4,5,29,30,,1611,1629,280,350,500,900,6,1,3,7,3,1711,60,80,80,30,60,90,下,23,4,5,29,30,
2026-07-03,小型,8,"48,49",400_2.4,下午,5,,3,15,8,22,28,,1639,1702,280,350,500,900,8,1,3,7,3,1711,60,80,80,30,60,90,中,3,15,8,22,28,
2026-07-03,中型,1,"1,2",800,上午,6,,3,4,6,,,,0750,0830,280,320,530,980,11,5,3,11,2,0840,60,90,90,30,60,90,下,3,4,6,,,
2026-07-03,中型,2,"5,6",600,上午,8,,11,20,16,14,,,0845,0915,270,320,530,930,12,4,3,9,3,0925,60,90,90,30,60,90,下,11,20,16,14,,
2026-07-03,中型,3,"10,11",E型 1200,上午,4,,4,2,,,,,0930,1015,340,480,600,1080,14,6,2,16,4,1030,60,90,90,30,60,90,下,4,2,,,,
2026-07-03,中型,4,"17,18,19",P1200,上午,4,4,4,10,,,,,1025,1130,330,460,680,860,11,4,2,11,1,1145,60,90,90,30,60,90,下,4,10,,,,
2026-07-03,中型,1,"22,23",P900,下午,10,10,4,3,2,,,,1305,1415,295,380,580,860,12,4,2,10,2,1425,60,85,85,30,60,90,下,4,3,2,,,
2026-07-03,中型,2,"33,34",600,下午,8,,9,1,2,19,,,1425,1500,270,320,530,930,15,4,3,9,4,1515,60,85,85,30,60,90,下,9,1,2,19,,
2026-07-03,中型,3,"40,41",800,下午,6,,3,1,5,,,,1515,1555,280,320,530,980,14,5,3,11,3,1605,60,85,85,30,60,90,下,3,1,5,,,
2026-07-03,中型,4,"46,47",E型 1200,下午,4,,2,4,,,,,1610,1700,340,480,600,1080,15,7,2,16,1,1715,60,85,85,30,60,90,下,2,4,,,,
